curso,aula,iframe_src
Fundamentos do Vibe Design,Aula 1,https://iframe.mediadelivery.net/embed/593226/f9e47561-ca7f-4fbb-972b-bc06d937fab3?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 2,https://iframe.mediadelivery.net/embed/593226/47ea2a8d-5fcb-4083-bd0c-8f8cd2c1e319?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 3,https://iframe.mediadelivery.net/embed/593226/72adb894-362e-4431-9466-779505ba22d3?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 4,https://iframe.mediadelivery.net/embed/593226/eb539236-47c7-41e8-8fac-9fb6d6b150bd?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 5,https://iframe.mediadelivery.net/embed/593226/116cee58-fa01-4635-a85d-82f1bca95296?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 6,https://iframe.mediadelivery.net/embed/593226/101ba3f4-46c2-47b2-852d-085c242d2898?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 7,https://iframe.mediadelivery.net/embed/593226/492170dc-823a-40e4-9241-16562ba47885?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 8,https://iframe.mediadelivery.net/embed/593226/3b26f02e-b1b2-40b0-836b-97bd17df5348?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 9,https://iframe.mediadelivery.net/embed/593226/6f98d24e-54e3-4685-a3eb-c027e5823fa2?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 10,https://iframe.mediadelivery.net/embed/593226/3edd8d2a-7bab-4600-90b6-3e548426f42f?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Fundamentos do Vibe Design,Aula 11,https://iframe.mediadelivery.net/embed/593226/065ad50f-ca58-4ce2-af7b-f0e01e45e6e3?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Construindo sites estáticos de alto nível com IA,Aula 1,https://iframe.mediadelivery.net/embed/598022/ac0d11cc-6c3c-43e0-8c77-351c4d41337c?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Construindo sites estáticos de alto nível com IA,Aula 2,https://iframe.mediadelivery.net/embed/598022/b0b4da74-b4bf-4058-8754-d4b4d4d55413?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Construindo sites estáticos de alto nível com IA,Aula 3,https://iframe.mediadelivery.net/embed/598022/571ba211-092a-4bf6-87ff-df56ea67a614?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Construindo sites estáticos de alto nível com IA,Aula 4,https://iframe.mediadelivery.net/embed/598022/5f1955d9-b650-4d0b-b8ae-b9de370f5860?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Construindo sites estáticos de alto nível com IA,Aula 5,https://iframe.mediadelivery.net/embed/598022/914eb04b-ec95-4435-a697-1d20802f9e1f?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Construindo sites estáticos de alto nível com IA,Aula 6,https://iframe.mediadelivery.net/embed/598022/a733bc2c-f1f1-4173-847c-80be5cd8c25d?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Construindo sites estáticos de alto nível com IA,Aula 7,https://iframe.mediadelivery.net/embed/598022/1a7e7d16-32ff-4aa6-9981-4b61f4d15570?autoplay=true&loop=false&muted=false&preload=true&responsive=true
Construindo sites estáticos de alto nível com IA,Aula 8,https://iframe.mediadelivery.net/embed/598022/b1bdd75e-35d8-41dc-a002-2d43b2680aa4?autoplay=true&loop=false&muted=false&preload=true&responsive=true
